toi,tid,tfopwg_disp,ra,dec,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_teff,st_logg,st_rad,Gaia_DR3_ID,Fe_H
5279.01,TIC 7681574,PC,273.240396,47.336205,16.0104634,2.151,7450.0,8.86029,14.2918,541.0,5733.4,4.42,1.03,Gaia DR3 596557801930836480,0.20999999344348907
528.01,TIC 403693875,FP,105.006164,11.043248,3.524465,3.103957,21822.783693,9.045877,53.1308724,688.5833009,3965.0,4.68568,0.613,Gaia DR3 596557801930836480,0.28999999165534973
5280.01,TIC 194679333,PC,312.860751,38.329749,9.0165933,2.886,2650.0,9.81811,145.183,967.0,6543.2,4.02,1.88,,
5281.01,TIC 405932063,PC,301.464969,51.856929,5.5047275,4.025,7530.0,12.7051,448.634,1282.0,5865.0,4.13,1.47,Gaia DR3 6779228164430422400,-0.10300000011920929
5282.01,TIC 329346586,PC,269.831796,49.54974,1.392516,1.209,4390.0,9.7757,769.854,1467.0,6082.0,4.17,1.45,Gaia DR3 6779228164430422400,-0.11299999803304672
5283.01,TIC 399956873,FP,287.537943,52.288047,6.949428,2.725,3050.0,9.02158,208.013,1058.0,6817.0,4.18,1.61,Gaia DR3 2371032916186181760,-0.12999999523162842
5284.01,TIC 171312653,PC,298.748378,36.162883,2.0327015,2.019,13040.0,21.5462,1195.69,1638.0,6555.0,4.03,1.86,Gaia DR3 2371032916186181760,-0.12999999523162842
5285.01,TIC 250330564,PC,340.969106,-1.83855,4.3852176,2.188,18080.0,10.2627,41.2399,705.0,4076.0,4.49,0.76,Gaia DR3 6618938954148736000,
5286.01,TIC 301035553,PC,3.035148,-4.612959,3.2988824,2.352,11160.0,9.7209,358.69,1212.0,5735.0,4.54,0.9,Gaia DR3 2221625920382449536,
5287.01,TIC 909930,APC,328.038687,-8.419663,4.1976789,3.829,6960.0,14.6667,713.476,1439.0,6058.0,4.02,1.71,Gaia DR3 2289934042329666688,
5288.01,TIC 857186,PC,327.719173,-8.635946,3.8123614,2.565,18330.0,11.0835,138.253,955.0,4780.0,4.5,0.82,Gaia DR3 2271460632075964672,
5289.01,TIC 176279915,PC,0.760104,-7.786416,3.4411264,2.669,2660.0,4.89568,341.303,1197.0,5244.0,4.44,0.94,Gaia DR3 3146508919546923264,
529.01,TIC 438490744,FP,100.255965,16.588795,1.665878,4.956738,85643.986097,6.98229,10.9121139,463.5504123,3021.0,5.10725,0.172,Gaia DR3 3088554829878914944,
5291.01,TIC 250983039,PC,338.733227,-11.363238,2.3007511,1.35,2390.0,6.24136,256.685,1115.0,5603.0,4.27,1.21,Gaia DR3 1578623755155940864,0.12600000202655792
5292.01,TIC 33397739,PC,344.222363,-8.119747,2.0231137,1.133,44030.0,13.4378,35.677,680.0,3767.0,4.66,0.59,Gaia DR3 1578623755155940864,0.13860000669956207
5293.01,TIC 250111245,CP,355.828682,-2.045095,2.9304371,1.73,50830.0,11.8933,31.8905,662.0,3692.0,4.77,0.5,Gaia DR3 1578623755155940864,0.18799999356269836
5295.01,TIC 4619242,APC,349.288896,-9.435693,4.3023572,1.579,30080.0,10.2749,11.1055,508.0,3504.0,4.67,0.58,Gaia DR3 1578623755155940864,0.15199999511241913
5296.01,TIC 241102583,FP,328.978312,-0.937407,1.7386091,1.691,18980.0,10.8015,444.5,1279.0,5362.8,4.65,0.75,Gaia DR3 2254929887069708160,0.13199999928474426
5297.01,TIC 422423972,PC,339.802206,1.688259,3.3014986,2.106,5640.0,11.7342,426.381,1265.0,6311.9,4.16,1.53,Gaia DR3 3086898720550996608,
5298.01,TIC 313835568,PC,331.051478,-2.397099,2.6831464,1.952,14010.0,12.7073,262.791,1121.0,5348.0,4.38,1.03,Gaia DR3 3206073621950177920,
5299.01,TIC 407997410,PC,359.71347,-4.961134,2.5792489,0.528,7090.0,19.2523,56.7896,764.0,5452.0,4.34,1.09,Gaia DR3 3206073621950177920,
530.01,TIC 387690507,CP,103.412833,12.881578,6.3875739,2.5660579,23994.2960408,8.6121163,14.2590446,495.6126203,3688.0,4.78199,0.544769,Gaia DR3 3206073621950177920,
5300.01,TIC 267215820,PC,356.481137,0.458798,2.2623535,1.958,24470.0,11.9692,131.906,944.0,4219.0,4.53,0.73,Gaia DR3 3206073621950177920,-0.06499999761581421
5301.01,TIC 58825110,CP,12.990801,13.078371,5.8588751,3.581,2690.0,12.1366,429.794,1268.0,6418.0,3.82,2.31,Gaia DR3 4747624104168195072,0.1899999976158142
5302.01,TIC 337025682,PC,32.249191,8.057199,4.2417694,1.832,18430.0,11.5903,67.8153,799.0,4794.0,4.51,0.81,Gaia DR3 4747624104168195072,0.3199999928474426
5303.01,TIC 58798731,PC,9.607237,17.19279,9.809558,1.924,7631.0,12.8969,52.7617,750.0,6480.0,4.27,1.39,Gaia DR3 4747624104168195072,
5304.01,TIC 293407882,PC,12.072754,6.918223,3.7079439,2.259,7740.0,8.08217,203.091,1051.0,5265.0,4.5,0.89,Gaia DR3 4747624104168195072,
5305.01,TIC 408743161,PC,36.581794,15.890418,4.4632038,3.659,7210.0,11.6079,545.343,1346.0,5921.4,4.2,1.37,Gaia DR3 4747624104168195072,
5307.01,TIC 369477998,APC,15.886532,9.913917,5.2976347,1.711,3920.0,4.00604,19.2351,583.0,4031.0,4.65,0.62,Gaia DR3 3445148131761842944,
5308.01,TIC 422653398,FP,29.00124,0.179786,8.34034,3.176,7360.0,16.0764,206.357,1055.0,5444.3,3.89,1.67,Gaia DR3 3141887427359032320,
5309.01,TIC 52052461,PC,4.463744,14.498767,6.4666483,3.284,6916.0,8.02442,166.169,1000.0,5441.0,4.41,1.01,Gaia DR3 6593678533494466944,
531.01,TIC 302895996,FP,83.11641,15.555883,0.567995,1.408867,5208.552517,2.671369,185.0742346,940.7110382,3462.0,4.88307,0.368,Gaia DR3 1708481163638057216,
5310.01,TIC 306204904,PC,30.183054,20.023188,11.2036244,3.039,5580.0,6.17248,19.2497,583.0,4329.8,4.45,0.81,Gaia DR3 1077605683954786048,
5311.01,TIC 306401382,PC,32.333404,21.451856,39.0536929,2.239,32970.0,13.5254,0.431293,225.0,3793.0,4.57,0.7,Gaia DR3 3446089824814610688,
